title;first_name;last_name
Slaughterhouse-Five;Kurt;Vonnegut Jr.
All the King's Men;Robert Penn;Warren
For Whom the Bell Tolls;Ernest;Hemingway
An American Tragedy;Theodore;Dreiser
Gone With the Wind;Margaret;Mitchell
The Grapes of Wrath;John;Steinbeck
Lolita;Vladimir;Nabokov
1984;George;Orwell
Snow Crash;Neal;Stephenson
Tropic of Cancer;Henry;Miller
A Time to Love and a Time to Die;Erich Maria;Remarque
Animal Farm;George;Orwell
Catch-22;Joseph;Heller
A Farewell to Arms;Ernest;Hemingway
All Quiet on the Western Front;Erich Maria;Remarque
